x	y	z	c
0.636475802575349	-0.251998597161589	-0.728968627421412	-0.728968627421412
0.716405095198435	-0.283644842834458	-0.63742398974869	-0.63742398974869
0.785036251510581	-0.310817839894611	-0.535826794978997	-0.535826794978997
0.84128691717848	-0.333089053946049	-0.425779291565073	-0.425779291565073
0.88426998560203	-0.350107254639001	-0.309016994374947	-0.309016994374947
0.913307588115352	-0.361604054782361	-0.187381314585725	-0.187381314585725
0.927941784380587	-0.36739814297001	-0.0627905195293134	-0.0627905195293134
0.927941784380587	-0.36739814297001	0.0627905195293134	0.0627905195293134
0.913307588115352	-0.361604054782361	0.187381314585725	0.187381314585725
0.88426998560203	-0.350107254639001	0.309016994374947	0.309016994374947
0.84128691717848	-0.333089053946049	0.425779291565073	0.425779291565073
0.785036251510581	-0.310817839894611	0.535826794978997	0.535826794978997
0.716405095198435	-0.283644842834458	0.63742398974869	0.63742398974869
0.636475802575349	-0.251998597161589	0.728968627421412	0.728968627421412
0.546508906333435	-0.216378183074817	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.124344943582427	-0.0157084194356844	-0.992114701314478	-0.992114701314478
0.246728893124491	-0.0311691077131132	-0.968583161128631	-0.968583161128631
0.365221780633285	-0.0461382405423838	-0.929776485888251	-0.929776485888251
0.477954902488575	-0.060379745756652	-0.876306680043864	-0.876306680043864
0.583150390015202	-0.073669026311226	-0.809016994374947	-0.809016994374947
0.679149247534131	-0.0857965023131289	-0.728968627421412	-0.728968627421412
0.764437515715352	-0.0965709162212075	-0.63742398974869	-0.63742398974869
0.837670147620904	-0.105822349091809	-0.535826794978997	-0.535826794978997
0.897692220898584	-0.113404900302025	-0.425779291565073	-0.425779291565073
0.943557151597354	-0.119198988489674	-0.309016994374947	-0.309016994374947
0.974541622361713	-0.123113237422817	-0.187381314585725	-0.187381314585725
0.99015698957848	-0.125085917057519	-0.0627905195293134	-0.0627905195293134
0.99015698957848	-0.125085917057519	0.0627905195293134	0.0627905195293134
0.974541622361713	-0.123113237422817	0.187381314585725	0.187381314585725
0.943557151597354	-0.119198988489674	0.309016994374947	0.309016994374947
0.897692220898584	-0.113404900302025	0.425779291565073	0.425779291565073
0.837670147620904	-0.105822349091809	0.535826794978997	0.535826794978997
0.764437515715352	-0.0965709162212075	0.63742398974869	0.63742398974869
0.679149247534131	-0.0857965023131289	0.728968627421412	0.728968627421412
0.583150390015202	-0.073669026311226	0.809016994374947	0.809016994374947
0	0	-1	-1
0.124344943582427	0.0157084194356844	-0.992114701314478	-0.992114701314478
0.246728893124491	0.0311691077131132	-0.968583161128631	-0.968583161128631
0.365221780633285	0.0461382405423838	-0.929776485888251	-0.929776485888251
0.477954902488575	0.060379745756652	-0.876306680043864	-0.876306680043864
0.583150390015202	0.073669026311226	-0.809016994374947	-0.809016994374947
0.679149247534131	0.0857965023131289	-0.728968627421412	-0.728968627421412
0.764437515715352	0.0965709162212075	-0.63742398974869	-0.63742398974869
0.837670147620904	0.105822349091809	-0.535826794978997	-0.535826794978997
0.897692220898584	0.113404900302025	-0.425779291565073	-0.425779291565073
0.943557151597354	0.119198988489674	-0.309016994374947	-0.309016994374947
0.974541622361713	0.123113237422817	-0.187381314585725	-0.187381314585725
0.99015698957848	0.125085917057519	-0.0627905195293134	-0.0627905195293134
0.99015698957848	0.125085917057519	0.0627905195293134	0.0627905195293134
0.974541622361713	0.123113237422817	0.187381314585725	0.187381314585725
0.943557151597354	0.119198988489674	0.309016994374947	0.309016994374947
0.897692220898584	0.113404900302025	0.425779291565073	0.425779291565073
0.837670147620904	0.105822349091809	0.535826794978997	0.535826794978997
0.764437515715352	0.0965709162212075	0.63742398974869	0.63742398974869
0.679149247534131	0.0857965023131289	0.728968627421412	0.728968627421412
0.583150390015202	0.073669026311226	0.809016994374947	0.809016994374947
0	0	-1	-1
0.11653189346843	0.0461382405423838	-0.992114701314478	-0.992114701314478
0.231226009364085	0.0915488534697653	-0.968583161128631	-0.968583161128631
0.342273552964344	0.135515686289294	-0.929776485888251	-0.929776485888251
0.447923238170047	0.177345355782894	-0.876306680043864	-0.876306680043864
0.546508906333435	0.216378183074817	-0.809016994374947	-0.809016994374947
0.636475802575349	0.251998597161589	-0.728968627421412	-0.728968627421412
0.716405095198435	0.283644842834458	-0.63742398974869	-0.63742398974869
0.785036251510581	0.310817839894611	-0.535826794978997	-0.535826794978997
0.84128691717848	0.333089053946049	-0.425779291565073	-0.425779291565073
0.88426998560203	0.350107254639001	-0.309016994374947	-0.309016994374947
0.913307588115352	0.361604054782361	-0.187381314585725	-0.187381314585725
0.927941784380587	0.36739814297001	-0.0627905195293134	-0.0627905195293134
0.927941784380587	0.36739814297001	0.0627905195293134	0.0627905195293134
0.913307588115352	0.361604054782361	0.187381314585725	0.187381314585725
0.88426998560203	0.350107254639001	0.309016994374947	0.309016994374947
0.84128691717848	0.333089053946049	0.425779291565073	0.425779291565073
0.785036251510581	0.310817839894611	0.535826794978997	0.535826794978997
0.716405095198435	0.283644842834458	0.63742398974869	0.63742398974869
0.636475802575349	0.251998597161589	0.728968627421412	0.728968627421412
0.546508906333435	0.216378183074817	0.809016994374947	0.809016994374947
0	0	-1	-1
0.101396715913487	0.073669026311226	-0.992114701314478	-0.992114701314478
0.201194345045556	0.146176248069781	-0.968583161128631	-0.968583161128631
0.29781901916858	0.216378183074817	-0.929776485888251	-0.929776485888251
0.389746909450858	0.283167704874703	-0.876306680043864	-0.876306680043864
0.475528258147577	0.345491502812526	-0.809016994374947	-0.809016994374947
0.553810242146497	0.402366693364377	-0.728968627421412	-0.728968627421412
0.623358307796563	0.452896320799659	-0.63742398974869	-0.63742398974869
0.683075640556475	0.496283502708782	-0.535826794978997	-0.535826794978997
0.732020462415202	0.531843997314794	-0.425779291565073	-0.425779291565073
0.769420884293813	0.559016994374947	-0.309016994374947	-0.309016994374947
0.794687079197354	0.577373959493242	-0.187381314585725	-0.187381314585725
0.807420584138902	0.586625392363843	-0.0627905195293134	-0.0627905195293134
0.807420584138902	0.586625392363843	0.0627905195293134	0.0627905195293134
0.794687079197354	0.577373959493242	0.187381314585725	0.187381314585725
0.769420884293813	0.559016994374947	0.309016994374947	0.309016994374947
0.732020462415202	0.531843997314794	0.425779291565073	0.425779291565073
0.683075640556475	0.496283502708782	0.535826794978997	0.535826794978997
0.623358307796563	0.452896320799659	0.63742398974869	0.63742398974869
0.553810242146497	0.402366693364377	0.728968627421412	0.728968627421412
0.475528258147577	0.345491502812526	0.809016994374947	0.809016994374947
0	0	-1	-1
0.0798904097866632	0.0965709162212075	-0.992114701314478	-0.992114701314478
0.158520900086773	0.191618851404938	-0.968583161128631	-0.968583161128631
0.234651421096719	0.283644842834458	-0.929776485888251	-0.929776485888251
0.307081349022005	0.371197585651263	-0.876306680043864	-0.876306680043864
0.374668420631708	0.452896320799659	-0.809016994374947	-0.809016994374947
0.436346747431984	0.527452610421896	-0.728968627421412	-0.728968627421412
0.491143625364344	0.593690657292862	-0.63742398974869	-0.63742398974869
0.538194874929729	0.650565847844713	-0.535826794978997	-0.535826794978997
0.576758469815437	0.697181226346852	-0.425779291565073	-0.425779291565073
0.606226239093346	0.732801640433624	-0.309016994374947	-0.309016994374947
0.626133458438752	0.756865334896277	-0.187381314585725	-0.187381314585725
0.636166179110581	0.76899281089818	-0.0627905195293134	-0.0627905195293134
0.636166179110581	0.76899281089818	0.0627905195293134	0.0627905195293134
0.626133458438752	0.756865334896277	0.187381314585725	0.187381314585725
0.606226239093346	0.732801640433624	0.309016994374947	0.309016994374947
0.576758469815437	0.697181226346852	0.425779291565073	0.425779291565073
0.538194874929729	0.650565847844713	0.535826794978997	0.535826794978997
0.491143625364344	0.593690657292862	0.63742398974869	0.63742398974869
